"age"	"bp"	"sg"	"al"	"su"	"rbcabnormal"	"rbcnormal"	"pcnormal"	"pccpresent"	"bapresent"	"bgr"	"bu"	"sc"	"sod"	"pot"	"hemo"	"pcv"	"wc"	"rc"	"htnyes"	"dmyes"	"cadyes"	"appetpoor"	"peyes"	"aneyes"	"classnotckd"
"age"	1	0.03	-0.25	0.25	0.21	0.15	-0.15	-0.19	0.11	0.1	0.24	0.15	0.19	-0.06	-0.06	-0.17	-0.16	0.13	-0.18	0.32	0.28	0.24	0.16	0.2	0.08	-0.28
"bp"	0.03	1	-0.12	0.23	0.2	0.25	-0.25	-0.15	0.15	0.14	0.11	0.1	0.23	-0.17	0.06	-0.1	-0.2	-0.04	-0.14	0.23	0.17	0.17	0.1	0.09	0.24	-0.24
"sg"	-0.25	-0.12	1	-0.59	-0.43	-0.43	0.43	0.49	-0.36	-0.4	-0.29	-0.38	-0.4	0.35	0	0.4	0.41	-0.17	0.43	-0.55	-0.53	-0.33	-0.44	-0.5	-0.35	0.65
"al"	0.25	0.23	-0.59	1	0.57	0.53	-0.53	-0.74	0.49	0.48	0.36	0.51	0.61	-0.48	0.08	-0.57	-0.58	0.2	-0.53	0.79	0.69	0.4	0.58	0.58	0.54	-0.93
"su"	0.21	0.2	-0.43	0.57	1	0.3	-0.3	-0.43	0.29	0.41	0.43	0.28	0.38	-0.25	0.04	-0.33	-0.33	0.17	-0.34	0.63	0.61	0.46	0.34	0.45	0.26	-0.57
"rbcabnormal"	0.15	0.25	-0.43	0.53	0.3	1	-1	-0.5	0.17	0.27	0.25	0.33	0.37	-0.29	0.03	-0.34	-0.33	0.1	-0.32	0.44	0.51	0.29	0.42	0.28	0.21	-0.59
"rbcnormal"	-0.15	-0.25	0.43	-0.53	-0.3	-1	1	0.5	-0.17	-0.27	-0.25	-0.33	-0.37	0.29	-0.03	0.34	0.33	-0.1	0.32	-0.44	-0.51	-0.29	-0.42	-0.28	-0.21	0.59
"pcnormal"	-0.19	-0.15	0.49	-0.74	-0.43	-0.5	0.5	1	-0.6	-0.48	-0.3	-0.47	-0.51	0.43	-0.01	0.52	0.52	-0.09	0.51	-0.67	-0.64	-0.38	-0.53	-0.61	-0.55	0.78
"pccpresent"	0.11	0.15	-0.36	0.49	0.29	0.17	-0.17	-0.6	1	0.42	0.18	0.29	0.34	-0.33	-0.05	-0.35	-0.36	0.06	-0.36	0.43	0.32	0.35	0.43	0.35	0.49	-0.51
"bapresent"	0.1	0.14	-0.4	0.48	0.41	0.27	-0.27	-0.48	0.42	1	0.23	0.24	0.28	-0.22	0.06	-0.3	-0.3	0.14	-0.28	0.31	0.37	0.3	0.19	0.39	0.14	-0.47
"bgr"	0.24	0.11	-0.29	0.36	0.43	0.25	-0.25	-0.3	0.18	0.23	1	0.18	0.32	-0.16	0.07	-0.26	-0.29	0.06	-0.29	0.35	0.42	0.29	0.21	0.27	0.1	-0.37
"bu"	0.15	0.1	-0.38	0.51	0.28	0.33	-0.33	-0.47	0.29	0.24	0.18	1	0.35	-0.28	0.12	-0.33	-0.32	0.09	-0.36	0.49	0.44	0.27	0.34	0.39	0.36	-0.53
"sc"	0.19	0.23	-0.4	0.61	0.38	0.37	-0.37	-0.51	0.34	0.28	0.32	0.35	1	-0.38	0.07	-0.38	-0.45	0.1	-0.32	0.56	0.49	0.3	0.39	0.42	0.4	-0.63
"sod"	-0.06	-0.17	0.35	-0.48	-0.25	-0.29	0.29	0.43	-0.33	-0.22	-0.16	-0.28	-0.38	1	-0.01	0.33	0.31	0.02	0.25	-0.43	-0.39	-0.19	-0.37	-0.37	-0.39	0.52
"pot"	-0.06	0.06	0	0.08	0.04	0.03	-0.03	-0.01	-0.05	0.06	0.07	0.12	0.07	-0.01	1	-0.02	-0.12	-0.05	-0.07	0.09	0.07	0.08	0.05	0.09	0.03	-0.07
"hemo"	-0.17	-0.1	0.4	-0.57	-0.33	-0.34	0.34	0.52	-0.35	-0.3	-0.26	-0.33	-0.38	0.33	-0.02	1	0.49	-0.2	0.45	-0.55	-0.48	-0.29	-0.41	-0.41	-0.41	0.61
"pcv"	-0.16	-0.2	0.41	-0.58	-0.33	-0.33	0.33	0.52	-0.36	-0.3	-0.29	-0.32	-0.45	0.31	-0.12	0.49	1	-0.19	0.45	-0.56	-0.49	-0.29	-0.43	-0.42	-0.42	0.62
"wc"	0.13	-0.04	-0.17	0.2	0.17	0.1	-0.1	-0.09	0.06	0.14	0.06	0.09	0.1	0.02	-0.05	-0.2	-0.19	1	-0.15	0.12	0.18	0.07	0.17	0.13	0.09	-0.24
"rc"	-0.18	-0.14	0.43	-0.53	-0.34	-0.32	0.32	0.51	-0.36	-0.28	-0.29	-0.36	-0.32	0.25	-0.07	0.45	0.45	-0.15	1	-0.54	-0.49	-0.29	-0.41	-0.42	-0.41	0.58
"htnyes"	0.32	0.23	-0.55	0.79	0.63	0.44	-0.44	-0.67	0.43	0.31	0.35	0.49	0.56	-0.43	0.09	-0.55	-0.56	0.12	-0.54	1	0.77	0.52	0.56	0.59	0.54	-0.86
"dmyes"	0.28	0.17	-0.53	0.69	0.61	0.51	-0.51	-0.64	0.32	0.37	0.42	0.44	0.49	-0.39	0.07	-0.48	-0.49	0.18	-0.49	0.77	1	0.46	0.49	0.67	0.28	-0.76
"cadyes"	0.24	0.17	-0.33	0.4	0.46	0.29	-0.29	-0.38	0.35	0.3	0.29	0.27	0.3	-0.19	0.08	-0.29	-0.29	0.07	-0.29	0.52	0.46	1	0.13	0.2	0.24	-0.45
"appetpoor"	0.16	0.1	-0.44	0.58	0.34	0.42	-0.42	-0.53	0.43	0.19	0.21	0.34	0.39	-0.37	0.05	-0.41	-0.43	0.17	-0.41	0.56	0.49	0.13	1	0.62	0.52	-0.6
"peyes"	0.2	0.09	-0.5	0.58	0.45	0.28	-0.28	-0.61	0.35	0.39	0.27	0.39	0.42	-0.37	0.09	-0.41	-0.42	0.13	-0.42	0.59	0.67	0.2	0.62	1	0.38	-0.62
"aneyes"	0.08	0.24	-0.35	0.54	0.26	0.21	-0.21	-0.55	0.49	0.14	0.1	0.36	0.4	-0.39	0.03	-0.41	-0.42	0.09	-0.41	0.54	0.28	0.24	0.52	0.38	1	-0.55
"classnotckd"	-0.28	-0.24	0.65	-0.93	-0.57	-0.59	0.59	0.78	-0.51	-0.47	-0.37	-0.53	-0.63	0.52	-0.07	0.61	0.62	-0.24	0.58	-0.86	-0.76	-0.45	-0.6	-0.62	-0.55	1
